iter	Logloss
0	0.6626618869
1	0.634913604
2	0.6101670916
3	0.591065038
4	0.5741811056
5	0.5580964304
6	0.5455565316
7	0.5310594063
8	0.52016423
9	0.5092481447
10	0.5013199844
11	0.4937157994
12	0.4867717064
13	0.4812627237
14	0.4754002671
15	0.4697574407
16	0.4649248234
17	0.4599082359
18	0.4553682266
19	0.4524133199
20	0.4490686516
21	0.4458616516
22	0.4434205788
23	0.4408494238
24	0.4387948193
25	0.4365241715
26	0.4345091186
27	0.432878633
28	0.4312279469
29	0.4298128206
30	0.4283657222
31	0.4271586838
32	0.4257341961
33	0.4245515374
34	0.4234131051
35	0.4222399531
36	0.4210240047
37	0.4197494931
38	0.4191900498
39	0.4181736985
40	0.4171411606
41	0.4162561747
42	0.4152476543
43	0.4143159463
44	0.4136201871
45	0.4129242699
46	0.4127348264
47	0.4120382518
48	0.4115843996
49	0.4107611161
50	0.4101643151
51	0.4095159637
52	0.4088745407
53	0.4082038877
54	0.4076748776
55	0.4073253156
56	0.4067400532
57	0.4060696968
58	0.4056121769
59	0.4050847939
60	0.4044795877
61	0.4039227847
62	0.4034219465
63	0.4030168241
64	0.4025881438
65	0.4020885442
66	0.4015242195
67	0.4010702872
68	0.40063166
69	0.4000089957
70	0.399562471
71	0.3991381629
72	0.398636975
73	0.3983616331
74	0.3977406611
75	0.3970344992
76	0.3967713958
77	0.3961470258
78	0.3956139929
79	0.3953976254
80	0.3949856491
81	0.3945797532
82	0.3941414246
83	0.393927999
84	0.3934701021
