iter	Passed	Remaining
0	147	147105
1	150	75303
2	154	51250
3	157	39163
4	160	31878
5	163	27064
6	167	23731
7	170	21149
8	173	19117
9	177	17529
10	181	16291
11	184	15188
12	187	14258
13	191	13475
14	195	12808
15	198	12213
16	201	11666
17	204	11175
18	208	10740
19	211	10349
20	214	9996
21	217	9687
22	220	9386
23	223	9107
24	226	8852
25	230	8616
26	232	8394
27	235	8190
28	238	7998
29	241	7818
30	244	7649
31	247	7491
32	250	7343
33	253	7202
34	256	7073
35	259	6952
36	262	6841
37	266	6741
38	269	6631
39	272	6545
40	276	6459
41	279	6374
42	282	6289
43	285	6207
44	288	6132
45	292	6059
46	294	5972
47	297	5901
48	300	5835
49	303	5768
50	306	5705
51	309	5645
52	312	5585
53	315	5527
54	318	5471
55	321	5415
56	324	5362
57	327	5318
58	330	5273
59	333	5225
60	336	5180
61	339	5136
62	342	5093
63	345	5054
64	348	5014
65	351	4979
66	355	4950
67	359	4921
68	362	4891
69	366	4862
70	369	4830
71	372	4798
72	375	4770
73	378	4740
74	381	4709
75	384	4678
76	388	4662
77	393	4647
78	396	4623
79	399	4594
80	402	4566
81	405	4541
82	408	4515
83	411	4489
84	414	4463
