iter	F1	Logloss
0	0.8036956522	0.6874981446
1	0.7949402344	0.6828588744
2	0.7916416477	0.6781958517
3	0.8018765789	0.6733033918
4	0.8094330634	0.668744216
5	0.8101969873	0.6633276894
6	0.8129528986	0.6583441391
7	0.8136589778	0.6540029221
8	0.8107370337	0.6489526641
9	0.8110325963	0.6450277382
10	0.8122500286	0.6408214188
11	0.8112209703	0.6368346558
12	0.8123499142	0.632795657
13	0.8127216566	0.6288336379
14	0.8134816004	0.6251581925
15	0.8116571429	0.6208059427
16	0.8126860545	0.6171295574
17	0.8126860545	0.6136891927
18	0.8124070047	0.6098142758
19	0.8130305116	0.606572669
20	0.8143547274	0.6031614732
21	0.8136531365	0.6000348204
22	0.8124855491	0.5969853287
23	0.8139561841	0.5941720805
24	0.8122685185	0.5904400554
25	0.8125722209	0.5875017962
26	0.8130700843	0.5844569338
27	0.8125361397	0.5814490565
28	0.8128898129	0.5780369364
29	0.813574974	0.5754761867
30	0.8146015661	0.5726633758
31	0.8158288278	0.570164943
32	0.816570771	0.5676406201
33	0.8165148195	0.5650760185
34	0.8162230672	0.5626052061
35	0.816768398	0.5601996151
36	0.8162137264	0.5572800357
37	0.8165000575	0.5551508067
38	0.8176361958	0.5529387642
39	0.8171521036	0.5506526894
40	0.8169111702	0.5483057207
41	0.8167418199	0.5462274233
42	0.8158260065	0.5440698025
43	0.8154130134	0.5417096682
44	0.8157378562	0.5396429947
45	0.8161238161	0.5375822898
46	0.8170183328	0.5357336573
47	0.8172910663	0.5340876271
48	0.8170605187	0.5324456621
49	0.8172910663	0.5304952898
50	0.8171125461	0.5288849816
51	0.8172788173	0.5271366376
52	0.8170802077	0.5254013333
53	0.8166608977	0.5238833739
54	0.817425468	0.5222431641
55	0.8170153739	0.5205630299
56	0.817025214	0.5189413398
57	0.817025214	0.5172136186
58	0.8172987974	0.5155969617
59	0.8172465611	0.5139652948
60	0.817425468	0.5126662329
61	0.817656575	0.5112886665
62	0.8180242634	0.5094391468
63	0.8176987061	0.5081138193
64	0.817887682	0.5065866448
65	0.8181608133	0.5052359432
66	0.8182238668	0.5038942784
67	0.8180030082	0.5024318933
68	0.81881211	0.5012470223
69	0.8190212373	0.4999435134
70	0.8186121695	0.4987043423
71	0.8185488522	0.4974665483
72	0.8185488522	0.4961826312
73	0.8186540459	0.4949889287
74	0.8192631944	0.4940963883
75	0.8186229205	0.4929577926
76	0.8185390661	0.4917511338
77	0.818581003	0.4905824351
78	0.8185595568	0.4893851482
79	0.8188322179	0.4884109696
80	0.8186014309	0.4873281567
81	0.818423179	0.4863473731
82	0.8185917447	0.4852501149
83	0.8181713097	0.4839527928
84	0.8186229205	0.482904409
85	0.8180663047	0.4819405138
86	0.818581003	0.4808959445
87	0.8190322208	0.4798673488
88	0.8188958189	0.478860529
89	0.8188012473	0.4777927249
90	0.8186756038	0.4769408055
91	0.8182764604	0.4760106537
