iter	Passed	Remaining
0	7	7072
1	13	6870
2	18	6151
3	23	5746
4	26	5307
5	30	5079
6	33	4750
7	37	4618
8	41	4523
9	44	4427
10	48	4339
11	51	4254
12	55	4201
13	58	4128
14	62	4081
15	65	4030
16	69	4023
17	72	3980
18	75	3877
19	78	3870
20	82	3858
21	86	3848
22	89	3820
23	94	3834
24	97	3820
25	101	3809
26	105	3799
27	109	3786
28	112	3769
29	116	3751
30	119	3737
31	122	3718
32	126	3705
33	129	3690
34	133	3676
35	136	3663
36	140	3651
37	143	3641
38	147	3626
39	150	3620
40	154	3608
41	158	3604
42	161	3592
43	165	3588
44	168	3579
45	172	3578
46	176	3581
47	180	3581
48	184	3572
49	187	3570
50	191	3566
51	195	3561
52	198	3551
53	202	3544
54	206	3548
55	209	3538
56	213	3532
57	216	3521
58	220	3518
59	224	3515
60	227	3507
61	231	3506
62	235	3509
63	240	3511
64	244	3511
65	248	3509
66	251	3507
67	255	3506
68	259	3502
69	263	3495
70	266	3490
71	270	3484
72	273	3477
73	277	3473
74	281	3468
75	285	3465
76	288	3458
77	292	3453
78	295	3447
79	299	3445
80	303	3440
81	307	3437
82	310	3433
83	314	3426
84	317	3418
85	321	3412
86	324	3410
87	328	3405
88	332	3400
89	335	3393
90	339	3387
91	342	3382
92	346	3376
93	349	3370
94	353	3364
95	356	3358
96	359	3351
97	363	3344
98	366	3339
99	370	3337
100	374	3331
101	377	3326
102	381	3322
103	384	3316
104	388	3313
105	392	3309
106	395	3304
107	399	3299
108	403	3299
109	407	3293
110	410	3288
111	414	3285
112	417	3280
113	421	3278
114	425	3278
115	429	3275
116	433	3271
117	437	3266
118	440	3263
119	444	3261
120	448	3261
121	452	3258
122	456	3254
123	460	3252
124	464	3249
125	468	3249
126	472	3244
127	475	3240
128	479	3237
129	483	3234
130	486	3229
131	490	3228
132	494	3222
133	497	3217
134	501	3211
135	504	3206
136	508	3202
137	512	3198
138	515	3194
139	519	3189
140	522	3185
141	526	3180
142	530	3179
143	534	3175
144	537	3171
145	541	3166
146	544	3161
147	548	3157
148	552	3153
149	555	3149
150	559	3143
151	562	3139
