iter	RMSE
0	0.4168525518
1	0.4030386469
2	0.3901459071
3	0.3780339309
4	0.3665653159
5	0.3560040823
6	0.3461578124
7	0.3368303613
8	0.3281353335
9	0.3199384859
10	0.3123711416
11	0.305171819
12	0.2985052764
13	0.2924606686
14	0.2867231134
15	0.2814832255
16	0.2764807218
17	0.2718871686
18	0.2677467823
19	0.2638837258
20	0.2600642718
21	0.2565992503
22	0.2534563416
23	0.2504707974
24	0.2476226678
25	0.2450395908
26	0.2427629641
27	0.2404613352
28	0.2383513152
29	0.2363918
30	0.2346672748
31	0.2329358167
32	0.2313446736
33	0.229694803
34	0.2277809844
35	0.2257682583
36	0.2239075134
37	0.2221676801
38	0.220543296
39	0.2190430218
40	0.2176298673
41	0.2163120332
42	0.215060628
43	0.2139897141
44	0.2128032475
45	0.2117643326
46	0.2108562424
47	0.2099410666
48	0.2091500268
49	0.2083603497
50	0.2076079682
51	0.2069587852
52	0.2062252214
53	0.2055409213
54	0.2049714376
55	0.2043468945
56	0.2036949161
57	0.2031090092
58	0.202604683
59	0.2020364121
60	0.2015199446
61	0.2010054612
62	0.2004942154
63	0.1999442604
64	0.1994454686
65	0.1990232566
66	0.1986320507
67	0.1981305313
68	0.1976037377
69	0.1972054004
70	0.1968093483
71	0.1964415565
72	0.1960102794
73	0.1956014389
74	0.1952611951
75	0.1948698365
76	0.1945706959
77	0.194275402
78	0.1939911254
79	0.1935425397
80	0.1932451683
81	0.1928764387
82	0.192488498
83	0.1922222873
84	0.1918238979
85	0.1915812112
86	0.1912831116
87	0.1910567374
88	0.1908164313
89	0.1904994328
90	0.1902623411
91	0.1899533836
92	0.1896570123
93	0.1893602887
94	0.1890583093
95	0.1888504882
96	0.1885750971
97	0.1883987263
98	0.1882160659
99	0.1880227987
100	0.1878100119
101	0.1875696172
102	0.1873052009
103	0.1871428658
104	0.1869494905
105	0.1867697349
106	0.1864736175
107	0.1863064401
108	0.1861515333
109	0.1859440114
110	0.185733208
111	0.185426679
112	0.1851518278
113	0.1849998192
114	0.184836516
115	0.1845959645
116	0.1844714486
117	0.1840850427
118	0.1838338577
119	0.1836694261
120	0.1834427138
121	0.1832815029
122	0.1830419385
123	0.1828356064
124	0.1826579112
125	0.1824729732
126	0.1823515928
127	0.1822035278
128	0.1820401901
129	0.1819302248
130	0.1816510807
131	0.1815215729
132	0.1813904593
133	0.1812957213
134	0.1811523163
135	0.1809481344
136	0.1807777753
137	0.1805841497
138	0.1804717747
139	0.1803730262
140	0.1802235171
141	0.1800226354
142	0.1798613581
143	0.1797258848
144	0.1796190032
145	0.1795151269
146	0.1793094671
147	0.1791543013
148	0.1789838694
149	0.178829101
150	0.1785506909
151	0.1783540885
152	0.1782092791
153	0.1781151601
154	0.1780095346
155	0.1779042951
156	0.1777528586
157	0.1776002014
158	0.1774267583
159	0.1772190577
160	0.1771356892
161	0.1769986721
162	0.1769237801
163	0.1767552456
164	0.1766004849
165	0.1764627742
166	0.176301098
167	0.1761939204
168	0.1761132446
169	0.175975521
170	0.1758868227
171	0.1757741295
172	0.1756272752
173	0.1755156286
174	0.1753877358
175	0.1752682588
176	0.1751707863
177	0.1750593892
178	0.1749310704
179	0.1748122604
180	0.1747080267
181	0.1746132383
182	0.1744830161
183	0.1743726976
184	0.1742550946
185	0.1741739652
186	0.1740384357
187	0.1739602026
188	0.1738663287
189	0.17373671
190	0.1736728077
191	0.1735631088
192	0.1734655193
193	0.1733798909
194	0.1733121211
195	0.1732054659
196	0.1731332166
197	0.1730376645
198	0.1729275576
199	0.172867249
200	0.1728003214
201	0.1726890912
202	0.17261025
203	0.1724973269
204	0.1724223052
205	0.1723185007
206	0.1722366632
207	0.1721448286
208	0.1720464884
209	0.1719458255
210	0.1718704128
211	0.171788174
212	0.1716966482
213	0.1715727106
214	0.171519177
215	0.1714333083
216	0.1713809574
217	0.1713134837
218	0.1712021164
219	0.1710497655
220	0.1709419823
221	0.1708642843
222	0.1707106886
223	0.1705796216
224	0.1704429799
225	0.1703872781
226	0.1702872744
227	0.1702144398
228	0.1701572143
229	0.1700476816
230	0.1699688331
231	0.1698792113
232	0.1697628804
233	0.1696616335
234	0.1696005191
235	0.1695214968
236	0.1694614071
237	0.1693864044
238	0.1692694473
239	0.1691740468
240	0.1690158951
241	0.1688803743
242	0.168813961
243	0.1687085568
244	0.1686214503
245	0.1685617626
246	0.1684712522
247	0.1684150969
248	0.1683347765
249	0.1682602826
250	0.1681723264
251	0.168069624
252	0.1679565124
253	0.1678279463
254	0.1677598628
255	0.16769144
256	0.1675780118
257	0.1675114802
258	0.1673663746
259	0.1672864333
260	0.1672207275
261	0.1671605238
262	0.1671021988
263	0.1670418035
264	0.1669609887
265	0.1668580825
266	0.1668010155
267	0.1667483305
268	0.1666715681
269	0.1665863973
270	0.1665241736
271	0.16639477
272	0.1663370505
273	0.1663003899
274	0.1662258568
275	0.1661607383
276	0.1660834328
277	0.1660118845
278	0.1659149678
279	0.1658706694
280	0.1658280545
281	0.1657706274
282	0.1657072267
283	0.1656395608
284	0.1655769299
285	0.1654833144
286	0.1654151295
287	0.1653409857
288	0.1653397055
289	0.165275051
290	0.1651845183
291	0.165117249
292	0.1650712714
293	0.1650151202
294	0.1649743979
295	0.1649736014
296	0.1648989639
297	0.1648413885
298	0.1647995021
299	0.1647432765
300	0.1646424566
301	0.1645264599
302	0.1645247714
303	0.1644683752
304	0.1644062518
305	0.1643520048
306	0.1643066652
307	0.1642599012
308	0.1642447581
309	0.1641890042
310	0.1641347019
311	0.1640533627
312	0.1640066776
313	0.1639819532
314	0.1639395083
315	0.1638606421
316	0.1638160327
317	0.1637725817
