iter	Passed	Remaining
0	496	496421
1	813	405810
2	1177	391301
3	1517	377933
4	1735	345437
5	1942	321749
6	2158	306172
7	2394	296918
8	2621	288649
9	2896	286750
10	3111	279713
11	3368	277303
12	3613	274336
13	3826	269490
14	4023	264199
15	4262	262173
16	4565	264002
17	4887	266624
18	5095	263099
19	5302	259827
20	5613	261696
21	5807	258167
22	6046	256845
23	6332	257517
24	6664	259920
25	7038	263664
26	7314	263585
27	7553	262229
28	7898	264476
29	8187	264733
30	8468	264709
31	8766	265189
32	9130	267548
33	9443	268295
34	9809	270457
35	10144	271644
36	10444	271846
37	10743	271981
38	10974	270419
39	11224	269394
40	11580	270878
41	11914	271767
42	12202	271582
43	12452	270569
44	12771	271038
45	13101	271715
46	13419	272108
47	13695	271636
48	13993	271589
49	14239	270541
50	14556	270872
51	14885	271374
52	15234	272209
53	15587	273075
54	15815	271747
55	16112	271610
56	16491	272836
57	16836	273452
58	17207	274451
59	17527	274599
60	17861	274948
61	18241	275969
62	18637	277198
63	19066	278854
64	19486	280309
65	19890	281478
66	20260	282130
67	20582	282100
68	20949	282665
69	21366	283864
70	21643	283200
71	22025	283886
72	22508	285825
73	22956	287271
74	23332	287763
75	23816	289563
76	24294	291217
77	24640	291261
78	25011	291591
79	25394	292034
80	25792	292630
81	26110	292311
82	26511	292899
83	26897	293310
84	27265	293503
85	27629	293645
86	28023	294085
87	28425	294591
88	28811	294917
89	29130	294538
90	29544	295118
91	29902	295120
92	30218	294713
93	30434	293333
94	30712	292579
95	31135	293188
96	31338	291737
97	31712	291888
98	32084	292000
99	32459	292137
100	32893	292783
101	33112	291516
102	33324	290218
103	33688	290237
104	34103	290691
105	34523	291169
106	34899	291264
107	35264	291257
108	35718	291970
109	36153	292510
110	36562	292833
111	36907	292620
112	37260	292475
113	37667	292751
114	38067	292957
115	38419	292784
116	38867	293333
117	39242	293319
118	39556	292853
119	39943	292918
120	40275	292580
121	40634	292434
122	41034	292578
123	41385	292369
124	41770	292395
125	42160	292448
126	42531	292365
127	42983	292827
128	43382	292917
129	43764	292887
130	44114	292639
131	44453	292315
132	44823	292194
133	45190	292053
134	45618	292296
135	45971	292056
136	46322	291795
137	46613	291165
138	47004	291159
139	47377	291030
140	47697	290584
141	48040	290271
142	48411	290128
143	48807	290131
144	49145	289790
145	49511	289606
146	49838	289200
147	50182	288891
148	50512	288497
149	50829	288035
150	51172	287719
151	51484	287231
152	51870	287154
153	52241	286989
154	52635	286950
155	52992	286701
156	53357	286497
157	53783	286617
158	54058	285929
159	54436	285789
160	54802	285585
161	55101	285032
162	55455	284762
163	55757	284229
164	56188	284348
165	56508	283902
166	56895	283796
167	57269	283620
168	57601	283234
169	58000	283178
170	58334	282802
171	58715	282653
172	59083	282442
173	59415	282051
174	59707	281477
175	60060	281193
176	60408	280884
177	60813	280833
178	61100	280241
179	61338	279431
180	61672	279058
181	62028	278789
182	62364	278423
183	62747	278269
184	63064	277822
185	63439	277633
186	63793	277349
187	64161	277123
188	64460	276598
189	64826	276367
190	65156	275975
191	65453	275450
192	65767	274994
193	66126	274732
194	66503	274540
195	66873	274319
196	67267	274190
197	67704	274235
198	68001	273716
199	68425	273700
200	68818	273562
201	69213	273429
202	69594	273234
203	69963	272994
204	70266	272496
205	70656	272334
206	71018	272067
207	71298	271483
208	71734	271491
209	71989	270817
210	72296	270341
211	72711	270265
212	73114	270147
213	73512	270003
214	73828	269561
215	74217	269380
216	74519	268888
217	74887	268632
218	75236	268310
219	75550	267859
220	75936	267666
221	76239	267182
222	76697	267236
223	77077	267017
224	77420	266671
225	77732	266217
226	78070	265850
227	78314	265170
228	78701	264971
229	79033	264589
230	79270	263892
231	79665	263719
232	80012	263387
233	80255	262716
234	80630	262478
235	80984	262171
236	81363	261943
237	81762	261778
238	82100	261415
239	82410	260967
240	82833	260872
241	83227	260686
242	83576	260361
243	83894	259936
244	84251	259632
245	84487	258957
246	84820	258582
247	84997	257734
248	85305	257287
249	85563	256691
250	85942	256458
251	86276	256091
252	86604	255706
253	87011	255554
254	87353	255208
255	87710	254907
256	88059	254584
257	88428	254317
258	88818	254109
259	89172	253798
260	89543	253533
261	89867	253138
262	90202	252771
263	90587	252546
264	90974	252324
265	91315	251976
266	91729	251826
267	92079	251499
268	92473	251294
269	92853	251048
270	93201	250715
271	93582	250470
272	94017	250368
273	94404	250137
274	94812	249959
275	95157	249615
276	95501	249268
277	95866	248976
278	96228	248676
279	96602	248407
280	96908	247961
281	97247	247601
282	97564	247185
283	97962	246976
284	98270	246538
285	98610	246180
286	98867	245617
287	99234	245330
288	99463	244701
289	99866	244500
290	100194	244116
291	100551	243804
292	100815	243265
293	101157	242916
294	101577	242753
295	101755	242012
296	102082	241629
297	102444	241329
298	102777	240960
299	103122	240618
300	103602	240592
301	104017	240411
302	104358	240059
303	104740	239800
304	105180	239673
305	105620	239544
306	105968	239205
307	106359	238963
308	106738	238693
309	107079	238337
310	107452	238054
311	107892	237916
312	108314	237739
313	108598	237255
314	108964	236954
315	109370	236739
316	109778	236526
317	110127	236185
318	110419	235722
319	110738	235319
320	111081	234967
321	111363	234485
322	111720	234164
323	112056	233796
324	112391	233428
325	112787	233186
326	113112	232796
327	113443	232421
328	113833	232165
329	114248	231959
330	114626	231676
331	114964	231314
332	115359	231064
333	115665	230637
334	116056	230380
335	116440	230108
336	116719	229629
337	117055	229261
338	117407	228927
339	117761	228595
340	118098	228230
341	118473	227940
342	118823	227600
343	119203	227318
344	119563	226997
345	119914	226659
346	120234	226263
